type,latitude,longitude,alt
T,48.19883,-3.01541833333,168.9
T,48.1988333333,-3.01540833333,168.8
T,48.1988366667,-3.01539833333,168.7
T,48.1988383333,-3.01538666667,168.8
T,48.19884,-3.01537666667,169.1
T,48.1988383333,-3.01536833333,169.3
T,48.198835,-3.01535833333,169.5
T,48.19883,-3.01535,169.6
T,48.1988216667,-3.01534166667,169.4
T,48.1988133333,-3.01533,169.3
T,48.1988083333,-3.015315,169.3
T,48.1988066667,-3.0153,169.4
T,48.1988083333,-3.015285,169.6
T,48.1988133333,-3.01527,169.7
T,48.1988183333,-3.01525833333,169.8
T,48.1988216667,-3.015245,169.7
T,48.1988233333,-3.01523166667,169.8
T,48.1988216667,-3.01522,169.9
T,48.1988183333,-3.01520833333,169.7
T,48.1988133333,-3.01519333333,169.7
T,48.1988116667,-3.01517666667,169.7
T,48.1988116667,-3.01516166667,169.6
T,48.1988133333,-3.01514833333,169.7
T,48.19881,-3.01513666667,169.5
T,48.1988066667,-3.015125,169.4
T,48.1988033333,-3.01511333333,169.4
T,48.1988033333,-3.01509833333,169.7
T,48.198805,-3.01508166667,169.9
T,48.1988083333,-3.015065,169.8
T,48.1988116667,-3.01505166667,169.7
T,48.19882,-3.01504,169.7
T,48.198825,-3.01502833333,169.6
T,48.1988283333,-3.01501833333,169.6
T,48.19883,-3.01500666667,169.6
T,48.1988283333,-3.01499833333,169.5
T,48.1988216667,-3.01499,169.2
T,48.1988166667,-3.014985,169.5
T,48.19881,-3.014985,169.5
T,48.1988033333,-3.01498833333,169.4
T,48.198795,-3.014995,169.3
T,48.1987883333,-3.01500666667,169.3
T,48.19878,-3.015015,169.2
T,48.19877,-3.01502166667,169.2
T,48.1987616667,-3.015025,168.9
T,48.1987533333,-3.01502666667,169.0
T,48.1987433333,-3.01502166667,169.1
T,48.1987366667,-3.01501333333,169.1
T,48.1987333333,-3.015,169.0
T,48.1987333333,-3.01498333333,169.1
T,48.1987366667,-3.01497,169.1
T,48.19874,-3.01495666667,169.1
T,48.198745,-3.01494666667,169.2
T,48.19875,-3.01493833333,169.1
T,48.1987516667,-3.01492833333,169.2
T,48.1987533333,-3.01491833333,169.1
T,48.1987516667,-3.01491,169.1
T,48.1987516667,-3.0149,169.1
T,48.19875,-3.01488833333,169.1
T,48.19875,-3.01487666667,169.1
T,48.1987533333,-3.01486333333,169.3
T,48.1987583333,-3.01485,169.3
T,48.1987666667,-3.01484,169.2
T,48.198775,-3.014835,169.3
